date,demanda_energia,tarifa_energia_real,pib_real,importacoes_petroleo,d_2001,d_2006,d_2008,d_2020
2024-12-01,16290000.0,684.1228750313805,986414.782133348,100.77,0,0,0,0
2025-01-01,15996000.0,693.1854479686631,944552.5982914938,107.12,0,0,0,0
2025-02-01,15900000.0,670.578696665208,970731.837997854,106.66,0,0,0,0
2025-03-01,16744000.0,671.8531505167789,1051948.7476108258,101.86,0,0,0,0
2025-04-01,16627000.0,662.1953079022236,1063784.901398159,96.94,0,0,0,0
2025-05-01,16939000.0,685.9038056036974,1048331.192051666,94.15,0,0,0,0
2025-06-01,16556000.0,717.2084539088543,1054954.455596473,96.78,0,0,0,0
2025-07-01,16746000.0,746.6191209505153,1101072.932080474,100.72,0,0,0,0
2025-08-01,17044000.0,747.5495878470961,1069653.799682364,100.08,0,0,0,0
2025-09-01,16653000.0,783.7075617486623,1073986.6073299998,99.35,0,0,0,0
2025-10-01,17000000.0,777.454440893381,1103439.2,97.5,0,0,0,0
