date,demanda_energia,tarifa_energia_real,pib_real,importacoes_petroleo,d_2001,d_2006,d_2008,d_2020
2001-09-01,9586000.0,536.609367682617,606031.0234727694,36.42,0,0,0,0
2001-10-01,9566000.0,529.6986167145844,638246.0671196437,35.06,0,0,0,0
2001-11-01,9686000.0,538.8082945107188,642938.4542893707,32.73,0,0,0,0
2001-12-01,9521000.0,520.0306225626108,615295.1629846811,30.99,0,0,0,0
2002-01-01,9431000.0,535.6845601813837,610640.2597314483,31.52,0,0,0,0
2002-02-01,9919000.0,533.1780616378109,604673.7803037714,25.92,0,0,0,0
2002-03-01,10362000.0,525.9935618121244,641761.4795007854,27.37,0,0,0,0
2002-04-01,10762000.0,527.6533416865066,647745.1455317196,31.81,0,0,0,0
2002-05-01,10920000.0,560.5062076863018,657485.1830511456,33.8,0,0,0,0
2002-06-01,10898000.0,550.1103170578361,645570.5704014571,33.35,0,0,0,0
2002-07-01,10720000.0,543.2040224207782,650193.7006758845,34.67,0,0,0,0
2002-08-01,11024000.0,534.8725718024464,639927.2538282099,34.89,0,0,0,0
2002-09-01,10893000.0,529.1961016783746,610479.7816857115,36.04,0,0,0,0
2002-10-01,11000000.0,514.0995739997229,623209.836570478,37.37,0,0,0,0
2002-11-01,11040000.0,495.5798764016357,601389.4155821744,36.78,0,0,0,0
2002-12-01,10659000.0,463.9664035162045,560920.7267262237,37.05,0,0,0,0
2003-01-01,10345000.0,486.1586559717669,536092.818185557,39.9,0,0,0,0
2003-02-01,10471000.0,475.47256691675807,545113.3852613264,41.0,0,0,0,0
2003-03-01,10565000.0,471.6154954043017,566076.7968879411,44.86,0,0,0,0
2003-04-01,10850000.0,476.23143814383343,574730.8787768851,44.43,0,0,0,0
2003-05-01,10750000.0,545.7211315657551,571313.7796894121,41.52,0,0,0,0
2003-06-01,10788000.0,558.7175485820633,568696.1710300577,39.1,0,0,0,0
2003-07-01,10818000.0,563.613185462403,602777.2332784432,39.08,0,0,0,0
2003-08-01,10793000.0,571.9947135701008,594338.5199813012,40.5,0,0,0,0
2003-09-01,10855000.0,571.0401431426154,603353.8979657555,41.64,0,0,0,0
2003-10-01,11215000.0,566.3206796309368,626452.4909905655,40.5,0,0,0,0
2003-11-01,11251000.0,572.7733019561896,618302.8127126392,42.16,0,0,0,0
2003-12-01,11531000.0,543.0063502969856,615243.1603222169,44.67,0,0,0,0
2004-01-01,12009000.0,562.2085289306858,573680.2610208766,46.99,0,0,0,0
2004-02-01,12141000.0,596.0125422301757,560886.9532521856,51.41,0,0,0,0
2004-03-01,12608000.0,546.5568444037552,612131.1401956525,51.23,0,0,0,0
2004-04-01,12887000.0,557.335478885733,603596.470298924,50.32,0,0,0,0
2004-05-01,12833000.0,611.5966674377156,604557.2228132774,57.94,0,0,0,0
2004-06-01,13108000.0,599.6542146566993,618723.8579798517,59.39,0,0,0,0
2004-07-01,13307000.0,600.9865245917773,634055.5072036734,68.11,0,0,0,0
2004-08-01,13592000.0,604.5134151667452,617851.4681507773,69.62,0,0,0,0
2004-09-01,13461000.0,605.0243395028314,598629.9636130636,66.54,0,0,0,0
2004-10-01,13535000.0,611.5406579658596,616566.4975263726,71.71,0,0,0,0
2004-11-01,13448000.0,609.8164852169323,634448.6781696221,72.52,0,0,0,0
2004-12-01,13392000.0,584.89477133061,636663.7652270211,71.3,0,0,0,0
2005-01-01,12651000.0,621.6196028183755,581509.5492681484,67.09,0,0,0,0
2005-02-01,12747000.0,625.2296156282065,569139.9611351475,62.86,0,0,0,0
2005-03-01,13065000.0,616.2126074443185,615347.1102541602,63.32,0,0,0,0
2005-04-01,13374000.0,621.760426329082,618192.1416942736,69.97,0,0,0,0
2005-05-01,13292000.0,687.3590391071125,620852.7550804381,79.65,0,0,0,0
2005-06-01,13140000.0,696.3093173870373,635553.2389365196,73.61,0,0,0,0
2005-07-01,13430000.0,689.4143071942914,649365.8848955685,71.66,0,0,0,0
2005-08-01,13755000.0,697.2085894375684,665819.051476332,77.74,0,0,0,0
2005-09-01,13701000.0,717.076706790291,646363.6531686125,83.51,0,0,0,0
2005-10-01,13512000.0,721.9685329399084,669363.2469504946,87.56,0,0,0,0
2005-11-01,13445000.0,720.7265981406271,686950.798673128,86.17,0,0,0,0
2005-12-01,13550000.0,694.0072069511342,699458.2449056895,82.05,0,0,0,0
2006-01-01,12851000.0,711.3112123200585,649269.382394939,79.81,0,1,0,0
2006-02-01,13044000.0,694.6951207781934,624863.1169385748,80.57,0,0,0,0
2006-03-01,13382000.0,698.770499358729,668978.9114981305,77.92,0,0,0,0
2006-04-01,13532000.0,708.4966129054054,650587.0627743414,82.51,0,0,0,0
2006-05-01,13407000.0,770.3895874592291,693113.0341539993,91.78,0,0,0,0
2006-06-01,13569000.0,751.9199078138903,692667.111348975,91.63,0,0,0,0
2006-07-01,13697000.0,764.1605435598832,718941.5180114434,93.49,0,0,0,0
2006-08-01,14164000.0,763.1366708788416,725843.025200803,99.53,0,0,0,0
2006-09-01,13825000.0,769.8762204326978,693864.4689997128,95.37,0,0,0,0
2006-10-01,13953000.0,761.592138282979,733533.7616343984,89.41,0,0,0,0
2006-11-01,13990000.0,764.2929692041673,747936.5108429515,84.46,0,0,0,0
2006-12-01,13767000.0,727.0278686294736,751548.3308605199,84.26,0,0,0,0
2007-01-01,13592000.0,739.6920248555335,713751.5538663196,85.38,0,0,0,0
2007-02-01,13684000.0,717.9197286824229,683691.9742620097,83.97,0,0,0,0
2007-03-01,14276000.0,716.9613330378895,732285.2509075856,86.43,0,0,0,0
2007-04-01,14511000.0,715.2811275571029,722993.7083989274,89.98,0,0,0,0
2007-05-01,14558000.0,768.1758862555834,760120.6266788506,98.92,0,0,0,0
2007-06-01,14582000.0,776.3436538556732,766351.1422609357,98.31,0,0,0,0
2007-07-01,14569000.0,769.1537965807241,779649.3019965237,102.75,0,0,0,0
2007-08-01,14860000.0,755.8114928734906,772890.6594205267,105.34,0,0,0,0
2007-09-01,14866000.0,729.5445202817888,724891.9405840634,102.98,0,0,0,0
2007-10-01,14952000.0,729.7408305383259,780593.0755274019,111.03,0,0,0,0
2007-11-01,15025000.0,715.9419634092192,772478.8215024717,117.34,0,0,0,0
2007-12-01,14893000.0,670.0428702863721,762929.7951551178,131.24,0,0,0,0
2008-01-01,13793000.0,665.8546116428975,739209.8675819678,126.97,0,0,0,0
2008-02-01,13967000.0,645.5639823261247,722234.7077945896,127.13,0,0,0,0
2008-03-01,14655000.0,646.1420643684075,746324.399755571,135.42,0,0,0,0
2008-04-01,14525000.0,632.4673330011868,758388.2144236692,142.08,0,0,0,0
2008-05-01,14791000.0,640.8479168960824,762773.8330022115,157.37,0,0,0,0
2008-06-01,14781000.0,633.7608755997396,780498.5872035011,166.76,0,0,0,0
2008-07-01,15154000.0,621.8237629713477,807585.625109571,183.04,0,0,0,0
2008-08-01,15412000.0,629.6868105756085,784838.69951961,179.45,0,0,0,0
2008-09-01,15180000.0,630.5888620819021,770508.3940785736,172.48,0,0,0,0
2008-10-01,15386000.0,625.4083660712694,806021.7784888919,149.1,0,0,0,0
2008-11-01,14773000.0,639.565016007233,777251.3886014405,125.12,0,0,0,0
2008-12-01,13417000.0,622.8722732619342,762534.7204403006,112.07,0,0,1,0
2009-01-01,11924000.0,644.2550452194038,720730.4911721611,108.42,0,0,1,0
2009-02-01,12337000.0,626.5101526782032,704604.224257551,85.95,0,0,0,0
2009-03-01,13049000.0,626.9545590264128,763444.8468001245,72.99,0,0,0,0
2009-04-01,13200000.0,627.5101491057345,755518.7231569422,69.2,0,0,0,0
2009-05-01,12976000.0,684.8125158650336,779614.8482616515,78.89,0,0,0,0
2009-06-01,13217000.0,677.9700368025676,803620.8749872075,86.58,0,0,0,0
2009-07-01,13611000.0,679.3098112100929,837379.2465467794,92.96,0,0,0,0
2009-08-01,14061000.0,689.2132243655351,833097.9900792709,91.86,0,0,0,0
2009-09-01,14227000.0,687.5415589664475,827855.5840730919,97.01,0,0,0,0
2009-10-01,14552000.0,689.295476364246,882992.2001491605,92.3,0,0,0,0
2009-11-01,14415000.0,687.4752595187425,891589.7630908197,101.85,0,0,0,0
2009-12-01,14229000.0,657.8218526464141,917366.4825913516,107.47,0,0,0,0
2010-01-01,13425000.0,662.1943222249438,837078.7832108295,104.75,0,0,0,0
2010-02-01,14078000.0,639.4052844523501,818741.2603788113,108.7,0,0,0,0
2010-03-01,14766000.0,637.0340273878708,887448.2961513255,109.21,0,0,0,0
2010-04-01,14921000.0,635.3461132529615,868189.3694348322,112.69,0,0,0,0
2010-05-01,15025000.0,648.1940759767938,879556.352031821,113.05,0,0,0,0
2010-06-01,15180000.0,642.4209354112928,890542.9139987226,113.89,0,0,0,0
2010-07-01,15303000.0,653.9894835931641,920228.8788983292,108.14,0,0,0,0
2010-08-01,15456000.0,647.5604599044647,915066.3609673632,107.74,0,0,0,0
2010-09-01,15405000.0,646.9571708290121,897067.9598262908,106.74,0,0,0,0
2010-10-01,15434000.0,643.0943659234889,924666.0097105888,111.56,0,0,0,0
2010-11-01,15317000.0,625.1130747209235,941272.569049876,119.51,0,0,0,0
2010-12-01,15169000.0,601.9670571209704,935316.8116097156,120.78,0,0,0,0
2011-01-01,14467000.0,619.901477658305,867557.0833511573,135.92,0,0,0,0
2011-02-01,14487000.0,599.1715435332594,863759.2938470123,133.97,0,0,0,0
