date,demanda_energia,importacoes_petroleo,tarifa_energia_real,pib_real
2010-05-01,15025000.0,113.05,648.1940759767938,879556.352031821
2010-06-01,15180000.0,113.89,642.4209354112928,890542.9139987226
2010-07-01,15303000.0,108.14,653.9894835931641,920228.8788983293
2010-08-01,15456000.0,107.74,647.5604599044647,915066.3609673631
2010-09-01,15405000.0,106.74,646.9571708290121,897067.9598262908
2010-10-01,15434000.0,111.56,643.0943659234889,924666.0097105887
2010-11-01,15317000.0,119.51,625.1130747209235,941272.569049876
2010-12-01,15169000.0,120.78,601.9670571209704,935316.8116097157
2011-01-01,14467000.0,135.92,619.901477658305,867557.0833511573
2011-02-01,14487000.0,133.97,599.1715435332594,863759.2938470123
2011-03-01,15188000.0,140.67,596.4131620544572,891577.4489912037
2011-04-01,15335000.0,153.87,598.4790505195448,890124.6392399004
2011-05-01,15255000.0,163.9,638.442894920448,933911.254906966
2011-06-01,15387000.0,158.8,639.4146206940442,947114.2142856892
2011-07-01,15436000.0,157.86,646.1069085188736,953187.6873661444
2011-08-01,15853000.0,157.82,638.8057740230416,956614.8867738307
2011-09-01,15731000.0,154.71,635.4560352615172,911579.6406423404
2011-10-01,15671000.0,151.2,635.1489263582281,950032.3987053278
2011-11-01,15484000.0,150.39,632.7551212117987,973631.5655868624
2011-12-01,15282000.0,147.48,610.0839492912246,980284.3583423315
2012-01-01,14567000.0,147.83,632.0618451052784,916504.8702434791
2012-02-01,15059000.0,151.34,612.3423230625316,915768.7412445514
2012-03-01,15579000.0,159.85,605.3040791779802,974705.4832739105
2012-04-01,15530000.0,164.61,600.257983106594,937363.287932767
2012-05-01,15264000.0,160.32,633.9288039697093,973886.7515324295
2012-06-01,15159000.0,152.17,627.8207172055588,963427.0711483777
2012-07-01,15214000.0,142.83,621.076004459086,986853.6011575765
2012-08-01,15628000.0,139.49,614.9956219144783,986713.3991121849
2012-09-01,15573000.0,138.52,612.4341027294519,916654.2537848222
2012-10-01,15548000.0,152.21,619.513630063687,987610.1558328257
2012-11-01,15470000.0,154.14,618.8039320112642,987814.3764545652
2012-12-01,14834000.0,153.47,614.001650934437,979900.7945369344
2013-01-01,14394000.0,147.46,616.0329314676252,955949.6265890474
2013-02-01,14814000.0,142.36,511.73846673282134,918365.2951209962
2013-03-01,15174000.0,142.97,479.8667364920678,981587.3474127599
2013-04-01,15612000.0,147.61,480.6919682071256,1008481.5630056701
2013-05-01,15596000.0,143.95,496.8775580119389,1005716.8890494
2013-06-01,15352000.0,142.98,494.9825752991,1006776.250721595
2013-07-01,15516000.0,135.99,495.8206951328978,1040787.9837288163
2013-08-01,15912000.0,137.35,498.3302334305093,1023374.8969191387
2013-09-01,15620000.0,140.89,498.3979442868976,978218.2148677579
2013-10-01,15810000.0,142.4,497.06988397530074,1032797.5712486455
2013-11-01,15836000.0,143.75,498.99616614459416,1028870.5676729169
2013-12-01,15348000.0,146.55,500.3533138199141,1039063.4792630788
2014-01-01,14563000.0,144.05,508.3508312180533,996421.6755602574
2014-02-01,15130000.0,143.1,492.8204275608373,975939.6998027256
2014-03-01,15110000.0,142.41,486.59270225439235,986906.5687497975
2014-04-01,15283000.0,141.04,487.5712553324781,996532.4060805937
2014-05-01,14972000.0,143.17,510.206820904265,1010816.6531464182
2014-06-01,14713000.0,140.15,518.2018200542518,985354.1417128404
2014-07-01,14585000.0,140.45,530.8368942307836,1041535.8481651752
2014-08-01,15169000.0,143.93,555.9542185425271,1030240.5319737913
2014-09-01,15008000.0,141.33,570.0272517356576,1028885.2031011423
2014-10-01,14961000.0,139.97,578.3435307445296,1058877.418361715
2014-11-01,15292000.0,133.85,579.4576888997672,1038834.4404654833
2014-12-01,14693000.0,124.71,584.437037608841,1056854.905441349
2015-01-01,13761000.0,114.62,614.8783409732043,993212.7893358048
2015-02-01,14451000.0,100.56,623.6314102063255,961325.1212821393
2015-03-01,14599000.0,82.67,696.4834235903987,1035691.4764409005
2015-04-01,14647000.0,81.92,788.5083351909411,995288.5545699795
2015-05-01,14339000.0,86.16,795.8862615502958,984447.9707386981
2015-06-01,14184000.0,88.3,792.9590514779268,984694.3631931829
2015-07-01,13959000.0,89.42,799.0945024031024,1010455.1905764713
2015-08-01,14292000.0,88.1,801.6051393225114,986853.9237965872
2015-09-01,14008000.0,81.64,787.0153948310125,979949.7278462471
2015-10-01,14159000.0,79.07,769.468992357508,1007314.4544143646
2015-11-01,13912000.0,78.78,768.6183020719021,985857.5038312068
2015-12-01,13410000.0,71.47,780.8582379218457,997009.8850569429
2016-01-01,12661000.0,66.89,776.859807272647,922465.0931597833
2016-02-01,13525000.0,68.99,764.8044340125925,916593.1683674374
2016-03-01,13963000.0,61.93,746.7318203797843,960948.2740350452
2016-04-01,14014000.0,60.13,729.5609023262239,940967.3459425545
2016-05-01,13976000.0,57.04,719.8305371479577,939992.5646563063
2016-06-01,13922000.0,63.11,707.1601483084394,966708.4296826373
2016-07-01,14126000.0,67.34,702.8024429833749,964140.7983834842
2016-08-01,14262000.0,68.6,674.1172528787974,963280.34900045
2016-09-01,14092000.0,66.03,706.7595391567742,918355.7342948786
2016-10-01,13973000.0,70.1,690.7915794733236,944477.7076486796
2016-11-01,13952000.0,73.27,688.5337018781788,973427.9874071855
2016-12-01,13544000.0,78.39,681.7441645941399,1008646.4266637447
2017-01-01,13191000.0,73.87,688.710299852663,934715.0983231366
2017-02-01,13491000.0,76.22,680.2092220579225,912077.9134790228
2017-03-01,13937000.0,79.78,693.8296598843223,969324.31642028
2017-04-01,14182000.0,79.47,673.1563132425085,947099.5295820214
2017-05-01,13665000.0,79.11,673.7057977420264,994817.6163306944
2017-06-01,14017000.0,77.16,711.1364456906958,1018917.1951669647
2017-07-01,14061000.0,74.92,708.4379797963871,1023214.0303043445
2017-08-01,14328000.0,76.02,737.3732656113193,1017322.6354009835
2017-09-01,14305000.0,79.91,739.0881412467265,962451.2155018267
2017-10-01,14263000.0,83.09,760.7592285507315,998637.9015731919
2017-11-01,14409000.0,89.64,788.2163067614694,1021200.9172600632
2017-12-01,14181000.0,91.73,774.2602496754243,1054310.4128764777
2018-01-01,13900000.0,89.58,756.2854213159094,989048.7947837426
2018-02-01,13563000.0,93.83,715.1238764552173,940043.0644888238
2018-03-01,14731000.0,92.98,710.1599276329896,989979.0967053343
2018-04-01,14378000.0,91.94,713.3208612741696,979524.6730106501
2018-05-01,13863000.0,99.13,724.2590888671843,942453.4281727453
2018-06-01,13778000.0,102.44,769.1733762453024,985891.663301209
2018-07-01,14523000.0,101.83,810.0261892929452,985556.8584726816
2018-08-01,14682000.0,104.88,815.3165416899551,978399.8511717956
2018-09-01,14164000.0,107.06,815.3532617184934,918343.0907482675
2018-10-01,14659000.0,107.26,824.7334573587082,973881.651386022
2018-11-01,14409000.0,106.87,807.0575395176544,988345.2458229081
2018-12-01,13796000.0,102.22,773.3860095541158,1008239.0031645376
2019-01-01,13933000.0,94.41,790.460979775406,966269.5529245564
2019-02-01,13574000.0,85.08,761.773195839047,937069.8613201824
2019-03-01,14070000.0,89.0,759.9004518408448,945412.2555017517
2019-04-01,13930000.0,92.42,752.1311170427808,959213.3708766405
2019-05-01,14236000.0,94.68,764.5422615547396,974230.6741484256
2019-06-01,13865000.0,94.0,762.8387921442365,958004.4602996628
2019-07-01,14110000.0,90.83,770.4256186503494,1004167.7384753926
2019-08-01,14196000.0,89.26,808.1447895100173,991783.0432917959
2019-09-01,13901000.0,84.74,799.3646713351044,983694.0932915763
2019-10-01,14436000.0,86.96,785.6019202449872,1021562.9360198622
2019-11-01,14218000.0,88.15,774.843251032415,1002664.5772381255
2019-12-01,13610000.0,87.37,757.1314147991478,1003395.6490373521
2020-01-01,13533000.0,90.93,768.8338242029615,958140.4890691345
2020-02-01,13898000.0,87.03,732.7373151454016,945736.3716939309
2020-03-01,14141000.0,76.78,713.2453285184264,940431.9296930574
2020-04-01,12178000.0,58.57,737.8216989692214,847011.3959038384
2020-05-01,12327000.0,49.99,729.8516784826867,847461.5943828487
