variavel,teste,estatistica,p_valor,lags,n_obs,decisão
demanda_energia,ADF,-5.418977925786434,3.08979901353195e-06,14,330.0,Estacionária
demanda_energia,KPSS,0.07893980076605887,0.1,17,,Estacionária
importacoes_petroleo,ADF,-11.406906642055604,7.411232382792132e-21,0,344.0,Estacionária
importacoes_petroleo,KPSS,0.0691854297206685,0.1,7,,Estacionária
pib_real,ADF,-3.988109157074251,0.0014740711670343484,17,327.0,Estacionária
pib_real,KPSS,0.09935564011261913,0.1,43,,Estacionária
tarifa_energia_real,ADF,-4.986567186727805,2.3592549787727907e-05,12,332.0,Estacionária
tarifa_energia_real,KPSS,0.035075852506940494,0.1,4,,Estacionária
